Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
DDX27,ENSG00000124228,0.00153040285742512,0.0113994736098115,0.000797275917005957,0.00423885043471974,
CFB,ENSG00000243649,0.00154965604265977,0.00216112950341663,0.00219936812931742,-0.00368140180502119,
HS3ST1,ENSG00000002587,0.00155183144050286,0.00292069259445726,0.00166510406421827,-0.0120360725395244,
GIN1,ENSG00000145723,0.00157567422689575,0.00246305229867549,0.00145691757147892,-0.00843752997717682,
SPSB2,ENSG00000111671,0.00162790239250088,0.012768019254417,0.00126595410309094,0.0220836102836863,
ATF3,ENSG00000162772,0.00165328723469826,0.00867640305728279,0.00147882355237194,-0.00619814977639881,
PLS3,ENSG00000102024,0.00168276588583849,0.00123946754245619,0.00244317350416079,0.00344923828352821,
VCP,ENSG00000165280,0.00181352222205511,0.0370136527574847,0.00123626416661249,0.00524823462774748,
TSNAXIP1,ENSG00000102904,0.00183591678362172,0.0214501764241566,0.00137241419483214,0.00440233650766977,
TRAFD1,ENSG00000135148,0.00184040505066307,0.450661706374728,0.00117805320884112,-0.00386077202516672,
PRDM11,ENSG00000019485,0.00188430318039257,0.00868831649543089,0.00168451764274125,-0.00288652744414041,
STK39,ENSG00000198648,0.00189101204699438,0.000862191324893624,0.21301857950234,-0.0181127979521961,
GPANK1,ENSG00000204438,0.00191092468729515,0.00167758991920264,0.00336067519469718,0.00714529209121499,
FMO1,ENSG00000010932,0.00194141520348923,0.000968353050022741,0.0763102386105041,0.0152110064225107,
IRGQ,ENSG00000167378,0.00196499559464702,0.00102718360230702,0.0481165370941585,0.0143660421635192,
SKIV2L,ENSG00000204351,0.00198308265242564,0.00144165755496661,0.00687422498716839,-0.00391844840773848,
NOX5,ENSG00000255346,0.0020131998560754,0.00763208450985231,0.00177593522948039,0.00350447549608892,
DNAJC14,ENSG00000135392,0.00204433637342116,0.00151145408995823,0.0249058423196485,0.0111686060111176,
ICAM4,ENSG00000105371,0.0020500005409132,0.022217439136279,0.00175946121218429,-0.00851123824457452,
VASP,ENSG00000125753,0.00206363191324443,0.00180200855753698,0.0213058162782338,-0.00731257200678733,
AL117339.5,ENSG00000283930,0.00208949185631491,0.245599339185936,0.00117253133843676,0.0150952026236003,
MAGEB6B,ENSG00000232030,0.00212331832771162,0.00126256848265816,0.00754335977646725,0.0185860884735075,
GBP2,ENSG00000162645,0.00219547192269898,0.00603219490691109,0.00403774246324218,0.0167234166797519,
PIWIL4,ENSG00000134627,0.00221190835266571,0.135204264199036,0.0015104445520947,0.00282136591465567,
KATNA1,ENSG00000186625,0.00228735884800046,0.00199634957405648,0.015258829250038,-0.00907445134637722,
AANAT,ENSG00000129673,0.00232824157540079,0.0320960842195813,0.00120206893627972,0.00812619386024684,
SYS1,ENSG00000204070,0.00235037905119573,0.00219598169080171,0.00449216287042431,-0.00940246521402157,
ZNF830,ENSG00000198783,0.00236347472902387,0.00769485971310457,0.00208213103701582,-0.00945322208856777,
MPZ,ENSG00000158887,0.0023933266077546,0.0905864472188199,0.00130238548252681,0.00308657930050477,
BID,ENSG00000015475,0.00241772825345954,0.00217137638877074,0.0140475220692898,0.00650592810133446,
FAIM2,ENSG00000135472,0.00247671491262069,0.00170444790091206,0.0139963763360551,-0.0135500929029346,
BHLHE40,ENSG00000134107,0.00248590369473722,0.0699374860558291,0.00118308640549258,0.0120695486423857,
C2,ENSG00000166278,0.00250254592888133,0.0292563824828036,0.00150943682444438,-0.0100848745102957,
OR2J3,ENSG00000204701,0.00254525111219261,0.00226561088063915,0.00487925471624173,-0.00812907428215348,
SYS1-DBNDD2,ENSG00000254806,0.00273971070160284,0.00258470571978808,0.00447201231147631,-0.00937885227846647,
TMEM74,ENSG00000164841,0.00278952511877384,0.437784424442742,0.00165967224586161,-0.00310208287361106,
PPP1R18,ENSG00000146112,0.00282620166452485,0.00283097295294565,0.00420015795330353,-0.00584857794061109,
TNXB,ENSG00000168477,0.0028294675773286,0.0878657505578277,0.00207214431525826,-0.0052423288187814,
ZNF223,ENSG00000178386,0.00284196664323655,0.0106768325724564,0.00210023921261882,0.00843574051951059,
SFTPC,ENSG00000168484,0.00284468275779881,0.00239543352638838,0.0122432062243889,-0.0108990621524243,
TMED1,ENSG00000099203,0.0028665696153326,0.00372493411624109,0.0028941620326699,0.017789278082618,
