Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Details
JPH1,ENSG00000104369,0.114144214481057,0.200704206349985,0.0700290528732845,-0.00248398111501975,
ACADL,ENSG00000115361,0.114172852824041,0.0764497347829758,0.105919553314119,-0.00216743089489314,
CD300LF,ENSG00000186074,0.114228739470893,0.0684125862898186,0.170854193795194,-0.00306640437538268,
MARK2,ENSG00000072518,0.114230871496929,0.111783069864406,0.0694964397442067,0.00430194200673854,
SLC37A2,ENSG00000134955,0.114240506738501,0.0600513159150613,0.348934883961231,0.00634266853447475,
S1PR5,ENSG00000180739,0.114247862887082,0.376765205587227,0.0710312868097077,0.00164910192326482,
BRMS1,ENSG00000174744,0.1143024186104,0.653251180693703,0.0639678423765115,0.00174478033446941,
MAP2K6,ENSG00000108984,0.114309442811126,0.349262106291905,0.0646212549844901,-0.00547792005197651,
ANKRD40,ENSG00000154945,0.114375790872408,0.0658780546394948,0.586600791487358,-0.00458519296949939,
ZNF140,ENSG00000196387,0.114379905705142,0.762457732766646,0.0612211606582457,0.00112240683549339,
GZMB,ENSG00000100453,0.114430549728216,0.0672278090905987,0.374667330910591,0.00619305531345507,
HUNK,ENSG00000142149,0.114449164211935,0.393238360966004,0.0634112314684678,-0.00213418732442946,
RIPOR3,ENSG00000042062,0.114689973254861,0.539990098099936,0.0614535489478638,0.000558768377385229,
OR1D5,ENSG00000262628,0.114691782244806,0.227399136179561,0.0727412521643214,-0.00418232616095866,
ASRGL1,ENSG00000162174,0.114701791020255,0.812379066403498,0.0616359574179959,-0.000856060981890648,
KRTAP4-4,ENSG00000171396,0.114776675538516,0.118990310713452,0.0680707171457405,0.00222025166495583,
MC4R,ENSG00000166603,0.114842286339581,0.393917729820815,0.0705829738526494,0.00140636657453881,
AC012651.1,ENSG00000258461,0.114860244100891,0.073768090241665,0.232369270202464,-0.00451851566811885,
SCRT2,ENSG00000215397,0.114878994103682,0.0649908229456506,0.246387442515784,-0.00603009909937669,
CDC42BPG,ENSG00000171219,0.114968960874856,0.0617355371070855,0.510599460215926,0.00206826914733986,
ZNF160,ENSG00000170949,0.114999709554862,0.568566762089408,0.0684678560093183,-0.000717682284102622,
BICRA,ENSG00000063169,0.115094106711891,0.155881575543449,0.0658322691215656,-0.00204729008470236,
TSPAN16,ENSG00000130167,0.115141647506575,0.0755864623473601,0.116389440154366,0.00443345364033945,
CRIP1,ENSG00000213145,0.115269530180387,0.0880559815301243,0.174766137527238,0.00456012259629933,
AL928654.3,ENSG00000257341,0.115269530180387,0.0880559815301243,0.174766137527238,0.00456012259629933,
MAP3K14,ENSG00000006062,0.115294044581482,0.155813742210473,0.0679090920147,0.00243560401427955,
ZNF41,ENSG00000147124,0.115337354202237,0.467960993931205,0.0654739313554691,-0.000881048101474369,
EPN2,ENSG00000072134,0.115405018984007,0.0681932235042142,0.547497793841396,-0.00285071169997939,
CYB5R3,ENSG00000100243,0.115437603707635,0.0650703499562647,0.876542664624069,-0.00450292455077769,
TULP3,ENSG00000078246,0.115453272079907,0.0649127148184423,0.273402066205106,-0.00428644220084137,
CLEC4M,ENSG00000104938,0.115682454649543,0.0608122953803794,0.530899151975009,0.00693838081446075,
SYTL1,ENSG00000142765,0.115760155576091,0.163188087500613,0.0706831325847948,-0.00293411330532924,
EIF3B,ENSG00000106263,0.115766527783735,0.296347836990483,0.0660125843108383,-0.00158236696578042,
PIGQ,ENSG00000007541,0.115775495650608,0.124133428232457,0.0697738174715432,0.00223083159032937,
PDGFRL,ENSG00000104213,0.115798281298813,0.101152656137901,0.0742765911469807,0.00304491589962927,
COA3,ENSG00000183978,0.11582284461718,0.0657532128610425,0.229197852717906,0.0082950320579003,
DEFB135,ENSG00000205883,0.115859593158515,0.529211580513207,0.0684857172816979,-0.00316878524723804,
OPTC,ENSG00000188770,0.116125719684026,0.761963047347393,0.0662093626344722,0.000485526606508717,
CLIP1,ENSG00000130779,0.116180275295943,0.0647066125106076,0.649154967724663,-0.00231818034031681,
KRTAP19-6,ENSG00000186925,0.116219034696611,0.110891252622406,0.0778748134833664,-0.0109576261371922,
NDRG4,ENSG00000103034,0.116245787583545,0.0673289134408246,0.227903034765662,0.00513161969828856,
METTL7A,ENSG00000185432,0.116336446419601,0.809365818362121,0.065040223750378,-0.00115777875594456,
SLC18B1,ENSG00000146409,0.116387081664544,0.163933943592862,0.0701587839775105,-0.0016351027482892,
RBM12B,ENSG00000183808,0.116517848514504,0.22842486542555,0.0650165922192749,-0.00132316671805366,
PHF13,ENSG00000116273,0.116536991183884,0.294788935896795,0.0639241435106189,-0.00528876324815702,
S100A7A,ENSG00000184330,0.116609343725261,0.45456576235797,0.0689791801412329,-0.00142080018744872,
FCRL1,ENSG00000163534,0.116615852601681,0.335458548727584,0.0667293629355747,0.00131040792998956,
SOCS3,ENSG00000184557,0.116617022730172,0.0906251123811752,0.0807460801951124,-0.0149724921009471,
VSTM2B,ENSG00000187135,0.116649122740289,0.072918183514376,0.223247126380183,0.0036006627385518,
AC245033.1,ENSG00000260836,0.116695601711597,0.0659332121094852,0.657186541930969,-0.00649134404406447,
